"firstname","lastname","university","university_shortname","university_city","function","organization","organization_sector"
"Hervé","Bourlard","ETH Lausanne","EPF","Lausanne","Member (vice-president) of the Board of Directors","IdeArk SA (IDIAP's technology transfer instrument)","Consulting, public relations, legal & trust"
"Hervé","Bourlard","ETH Lausanne","EPF","Lausanne","Member of the Advisory Board","Privately SA, Switzerland","Technology"
"Hervé","Bourlard","ETH Lausanne","EPF","Lausanne","Member of the Advisory Board","Voxta Inc., India","Media & communication"
"Hervé","Bourlard","ETH Lausanne","EPF","Lausanne","Member of the Foundation Council","Fondation Dalle Molle","Society, Social, Culture & Sports"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","NA","Stiftung Swiss Innovation Park","Commerce, trade & services"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","Stiftungsrat","Huber-Kudlich-Stiftung an der Eidgenössischen Technischen Hochschule Zürich","Education & research"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","VR-Mandat","Ammann BauAusrüstung AG","Commerce, trade & services"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","VR-Mandat","Appenzeller Kantonalbank","Financial industry & insurances"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","VR-Mandat","Georg Fischer AG","Industry, construction & agriculture"
"Roman","Boutellier","ETH Zürich","ETH","Zurich","VR-Mandat","Rychiger AG","Industry, construction & agriculture"
"Christian","Bovet","Uni Genf","UGE","Geneva","Membre et Président du conseil","Fondation Professeur Walther Hug","Education & research"
"Christian","Bovet","Uni Genf","UGE","Geneva","Président du comité d'audit et membre du conseil d'adminstration","BPN Paribas (Suisse) SA","Financial industry & insurances"
"Urs","Brägger","Uni Bern","UBE","Bern","NA","ub-invent GmbH","Pharma & health"
"Nicola","Braghieri","ETH Lausanne","EPF","Lausanne","Architecte associé (10%)","EX-M, Milan","Industry, construction & agriculture"
"Torsten","Braun","Uni Bern","UBE","Bern","Mitglied des Stiftungsrats und dessen Ausschuss","SWITCH","Technology"
"Walter","Brenner","Uni St. Gallen","USG","Saint Gallen","Beratungstätigkeit","ITMC AG","Technology"
"Walter","Brenner","Uni St. Gallen","USG","Saint Gallen","Informatik-Lenkungsausschuss","Landesregierung Vorarlberg","Politics, administration, justice system & security sector"
"Walter","Brenner","Uni St. Gallen","USG","Saint Gallen","Verwaltungsratspräsident","ITMP AG","Consulting, public relations, legal & trust"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Background Note on the Impact of Banking Crises on Households in Emerging Europe for World Development Report 2014","World Bank","Financial industry & insurances"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Consultant for Financial Literacy","Swiss National Bank","Financial industry & insurances"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Consultant for Financial Literacy","Verband der Schweizerischen Kantonalbanken","Financial industry & insurances"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Diverse Gutachten","KfW Development Bank","Financial industry & insurances"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Diverse kleinere Tätigkeiten","Departement für Entwicklungshilfe und -zusammenarbeit DEZA","Politics, administration, justice system & security sector"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Diverse kleinere Tätigkeiten","European Fund for Southeast Europe (EFSE)","Politics, administration, justice system & security sector"
"Martin","Brown","Uni St. Gallen","USG","Saint Gallen","Member of Technical Assistance Committee","ResponsAbility","Financial industry & insurances"
"Heike","Bruch","Uni St. Gallen","USG","Saint Gallen","Mitglied des Fachrates","Schweizer Kaderorganisation SKO","Commerce, trade & services"
"Heike","Bruch","Uni St. Gallen","USG","Saint Gallen","Mitglied des Vorstandes","Das Demographienetzwerk ddn","Society, Social, Culture & Sports"
"Heike","Bruch","Uni St. Gallen","USG","Saint Gallen","Mitglied des Vorstandes","Deutsche Gesellschaft für Personalführung DGFP","Commerce, trade & services"
"Heike","Bruch","Uni St. Gallen","USG","Saint Gallen","Verwaltungsratspräsidentin und Gründerin","Energy factory","Consulting, public relations, legal & trust"
"Jürgen","Brugger","ETH Lausanne","EPF","Lausanne","Proposal reviewing ARGOVIA","Swiss Nanoscience Institute, Basel","Education & research"
"Jürgen","Brugger","ETH Lausanne","EPF","Lausanne","Proposal reviewing HEPIA","HES Campus Biotech, Genève","Education & research"
"Eugen","Brühwiler","ETH Lausanne","EPF","Lausanne","Expert/conseiller pour le suivi de questions liées à la structure porteuse de la Cathédrale de Lausanne","Canton de Vaud SIPAL","Politics, administration, justice system & security sector"
"Eugen","Brühwiler","ETH Lausanne","EPF","Lausanne","Ingénieur-expert dans le cadre du bétonnage du Tunnel Eyholz à Visp VS","Office fédéral des routes, Sion","Energy, environment & mobility"
"Eugen","Brühwiler","ETH Lausanne","EPF","Lausanne","Panoramaweg Rigi SZ : mandat de conseil pour la restoration de ponts historiques","Office fédéral des routes, Bern","Energy, environment & mobility"
"Eugen","Brühwiler","ETH Lausanne","EPF","Lausanne","Projet de normalisation européen (Projet SIA NDP - EN 1991)","Société des Ingénieurs et Architectes Suisses, SIA, Zurich","Commerce, trade & services"
"Eugen","Brühwiler","ETH Lausanne","EPF","Lausanne","Quatre mandats d'expertise (en tant qu'expert fédéral), mandatés par l'Office Fédéral de la Culture","BAK, Heimatschutz und Denkmalpflege, Bern","Society, Social, Culture & Sports"
"Harald","Brune","ETH Lausanne","EPF","Lausanne","Conseiller national, Présedent de la division 2 du Fond National","Fond National pour la Recherche en Suisse, Bern","Education & research"
"Harald","Brune","ETH Lausanne","EPF","Lausanne","Hans-Fischer Senior Fellow","Institute of Advanced Studies, Technical University of Munich, Garching","Education & research"
"Aymo","Brunetti","Uni Basel","UBA","Basel","NA","Fachhochschule Kalaidos","Education & research"
"Stefan","Bühler","Uni Zürich","UZH","Zurich","Vizepräsident","Wettbewerbskommission","Politics, administration, justice system & security sector"
"Andreas","Burg","ETH Lausanne","EPF","Lausanne","Technical consulting","ACP Advanced Circuit Pursuit AG, Zürich","Industry, construction & agriculture"
"Daniel","Buser","Uni Bern","UBE","Bern","NA","ITI Stiftung Basel","Education & research"
"Daniel","Buser","Uni Bern","UBE","Bern","NA","Kursaal Bern AG","Commerce, trade & services"
"Daniel","Buser","Uni Bern","UBE","Bern","NA","Osteology Stiftung Luzern","Pharma & health"
"George","Candea","ETH Lausanne","EPF","Lausanne","CEO and President (while on leave)","CodeTickler, CA, USA","Technology"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","CAScination AG","Pharma & health"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","Fondazione Epatocentro Ticino, Lugano","Education & research"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","Forschungsstiftung Genaxen","Education & research"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","Insula Stiftung","Education & research"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","Ruth & Arthur Scherbarth Stiftung, Bern","Society, Social, Culture & Sports"
"Daniel","Candinas","Uni Bern","UBE","Bern","NA","Solothurner Spitäler AG","Pharma & health"
"Srdan","Capkun","ETH Zürich","ETH","Zurich","Geschäftsführer","Contego Laboratories GmbH","Technology"
"Basile","Cardinaux","Uni Freiburg","UFR","Fribourg","Anwalt","Selbstständig","Not classifiable"
"Basile","Cardinaux","Uni Freiburg","UFR","Fribourg","Vorstand","Pensionskasse des Staatspersonals Freiburg","Financial industry & insurances"
"Erick Moran","Carreira","ETH Zürich","ETH","Zurich","VR-Mandat","Glycemicon AG","Technology"
"Erick Moran","Carreira","ETH Zürich","ETH","Zurich","VR-Mandat","SpiroChem AG","Technology"
"Thierry","Carrel","Uni Bern","UBE","Bern","NA","Mobiliar Genossenschaft","Financial industry & insurances"
"Marina Silva","Cattaruzza","Uni Bern","UBE","Bern","NA","Universita della Svizzera Italiana","Education & research"
"Marco","Celio","Uni Freiburg","UFR","Fribourg","Verwaltungsratspräsident","Frimorfo S.A.","Technology"
"Marco","Celio","Uni Freiburg","UFR","Fribourg","Verwaltungsratspräsident","SWANT (Swiss antibodies) SA","Pharma & health"
"Volkan","Cevher","ETH Lausanne","EPF","Lausanne","Faculty Fellow","Rice University, Houston, Texas","Education & research"
"Peter","Chen","ETH Zürich","ETH","Zurich","VR-Mandat","Clariant AG","Technology"
"Majed","Chergui","ETH Lausanne","EPF","Lausanne","Editeur in chief of Structural Dynamics","American Institute of Phyiscs Publishing (AIPP), NY, USA","Media & communication"
"Olivier","Christin","Uni Neuenburg","UNE","Neuchâtel","Enseignement","Ecole pratique des hautes études de Paris","Education & research"
"Gerhard M.","Christofori","Uni Basel","UBA","Basel","Mitglied des Stiftungsrates","Hans Buss-Stiftung Basel","Education & research"
