state,good,prop selling
New York,Cheese,0.553333
New York,Eggs,0.688889
New York,Fruits,0.764444
New York,Maple,0.564444
New York,Poultry,0.491111
New York,Wine,0.377778
North Carolina,Cheese,0.521472
North Carolina,Eggs,0.846626
North Carolina,Fruits,0.865031
North Carolina,Maple,0.092025
North Carolina,Poultry,0.588957
North Carolina,Wine,0.208589
North Dakota,Cheese,0.062500
North Dakota,Eggs,0.250000
North Dakota,Fruits,0.562500
North Dakota,Maple,0.062500
North Dakota,Poultry,0.125000
North Dakota,Wine,0.062500
Ohio,Cheese,0.478261
Ohio,Eggs,0.673913
Ohio,Fruits,0.896739
Ohio,Maple,0.679348
Ohio,Poultry,0.505435
Ohio,Wine,0.081522
Oklahoma,Cheese,0.294118
Oklahoma,Eggs,0.676471
Oklahoma,Fruits,0.676471
Oklahoma,Maple,0.058824
Oklahoma,Poultry,0.294118
Oklahoma,Wine,0.117647
Oregon,Cheese,0.467213
Oregon,Eggs,0.737705
Oregon,Fruits,0.786885
Oregon,Maple,0.040984
Oregon,Poultry,0.500000
Oregon,Wine,0.418033
Pennsylvania,Cheese,0.562500
Pennsylvania,Eggs,0.652778
Pennsylvania,Fruits,0.868056
Pennsylvania,Maple,0.437500
Pennsylvania,Poultry,0.472222
Pennsylvania,Wine,0.319444
Rhode Island,Cheese,0.500000
Rhode Island,Eggs,0.676471
Rhode Island,Fruits,0.970588
Rhode Island,Maple,0.294118
Rhode Island,Poultry,0.411765
Rhode Island,Wine,0.000000
South Carolina,Cheese,0.671642
South Carolina,Eggs,0.820896
South Carolina,Fruits,0.820896
South Carolina,Maple,0.194030
South Carolina,Poultry,0.447761
South Carolina,Wine,0.104478
South Dakota,Cheese,0.347826
South Dakota,Eggs,0.826087
South Dakota,Fruits,0.739130
South Dakota,Maple,0.086957
South Dakota,Poultry,0.478261
South Dakota,Wine,0.043478
Tennessee,Cheese,0.487805
Tennessee,Eggs,0.865854
Tennessee,Fruits,0.865854
Tennessee,Maple,0.158537
Tennessee,Poultry,0.573171
Tennessee,Wine,0.036585
Texas,Cheese,0.488189
Texas,Eggs,0.905512
Texas,Fruits,0.850394
Texas,Maple,0.204724
Texas,Poultry,0.582677
Texas,Wine,0.267717
Utah,Cheese,0.548387
Utah,Eggs,0.806452
Utah,Fruits,0.870968
Utah,Maple,0.064516
Utah,Poultry,0.258065
Utah,Wine,0.064516
Vermont,Cheese,0.661765
Vermont,Eggs,0.852941
Vermont,Fruits,0.779412
Vermont,Maple,0.897059
Vermont,Poultry,0.720588
Vermont,Wine,0.352941
Virginia,Cheese,0.558011
Virginia,Eggs,0.928177
Virginia,Fruits,0.889503
Virginia,Maple,0.187845
Virginia,Poultry,0.696133
Virginia,Wine,0.254144
Washington,Cheese,0.709924
Washington,Eggs,0.770992
Washington,Fruits,0.893130
Washington,Maple,0.030534
Washington,Poultry,0.488550
Washington,Wine,0.450382
West Virginia,Cheese,0.285714
West Virginia,Eggs,0.875000
West Virginia,Fruits,0.785714
West Virginia,Maple,0.482143
West Virginia,Poultry,0.535714
West Virginia,Wine,0.035714
Wisconsin,Cheese,0.494898
Wisconsin,Eggs,0.647959
Wisconsin,Fruits,0.785714
Wisconsin,Maple,0.734694
Wisconsin,Poultry,0.515306
Wisconsin,Wine,0.040816
Wyoming,Cheese,0.516129
Wyoming,Eggs,0.806452
Wyoming,Fruits,0.612903
Wyoming,Maple,0.129032
Wyoming,Poultry,0.354839
Wyoming,Wine,0.064516
