,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category,Interested in Math,Interested in Pets
32,5.0,3.0,5.0,4.0,1.0,5.0,5.0,1.0,Sometimes,few hours a day,1.0,20.0,4.0,female,city,Less than 21,False,Yes
33,5.0,1.0,4.0,5.0,2.0,5.0,4.0,3.0,Often,few hours a day,2.0,27.0,1.0,female,city,21+,False,Yes
34,5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,Rarely,few hours a day,3.0,20.0,5.0,male,city,Less than 21,False,No
35,5.0,1.0,5.0,1.0,1.0,5.0,4.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,village,Less than 21,False,Yes
36,5.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,Always,few hours a day,5.0,18.0,1.0,female,city,Less than 21,False,Yes
37,5.0,1.0,4.0,3.0,3.0,3.0,,3.0,Sometimes,few hours a day,3.0,21.0,1.0,male,city,21+,False,Yes
38,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,Often,few hours a day,5.0,23.0,1.0,female,village,21+,False,Yes
39,5.0,2.0,4.0,4.0,1.0,5.0,5.0,4.0,Sometimes,few hours a day,3.0,21.0,1.0,female,city,21+,False,Yes
40,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,Never,few hours a day,3.0,26.0,1.0,female,city,21+,False,No
41,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,Sometimes,few hours a day,3.0,20.0,3.0,male,city,Less than 21,False,Yes
42,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,Rarely,few hours a day,5.0,19.0,0.0,female,city,Less than 21,False,Yes
43,5.0,3.0,5.0,2.0,1.0,5.0,5.0,3.0,Sometimes,most of the day,3.0,20.0,1.0,female,city,Less than 21,False,Yes
44,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,Sometimes,few hours a day,4.0,25.0,1.0,female,village,21+,True,Yes
45,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,Never,most of the day,4.0,27.0,1.0,male,,21+,False,Yes
46,5.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,Often,few hours a day,3.0,21.0,1.0,female,city,21+,False,Yes
47,5.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False,Yes
48,5.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,Sometimes,few hours a day,4.0,20.0,1.0,female,village,Less than 21,False,No
49,5.0,2.0,5.0,2.0,1.0,5.0,5.0,4.0,Sometimes,few hours a day,4.0,20.0,1.0,female,city,Less than 21,False,Yes
50,4.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,Sometimes,few hours a day,4.0,19.0,2.0,female,city,Less than 21,False,Yes
51,5.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,Often,less than an hour a day,5.0,19.0,1.0,female,city,Less than 21,False,Yes
52,5.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,Sometimes,few hours a day,1.0,21.0,2.0,female,village,21+,False,Yes
53,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,Often,less than an hour a day,3.0,18.0,4.0,female,city,Less than 21,False,No
54,5.0,4.0,5.0,5.0,1.0,1.0,3.0,3.0,Sometimes,few hours a day,3.0,21.0,2.0,female,city,21+,False,No
55,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,Rarely,few hours a day,5.0,23.0,1.0,female,village,21+,False,Yes
56,5.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,Sometimes,few hours a day,3.0,20.0,2.0,female,city,Less than 21,False,Yes
57,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,Always,few hours a day,5.0,21.0,1.0,female,city,21+,True,Yes
58,5.0,3.0,5.0,3.0,3.0,3.0,1.0,5.0,Often,few hours a day,5.0,19.0,1.0,male,village,Less than 21,True,Yes
59,5.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,Sometimes,few hours a day,1.0,22.0,1.0,male,city,21+,True,No
60,5.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,Sometimes,most of the day,5.0,23.0,1.0,male,city,21+,False,No
61,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,Often,few hours a day,2.0,23.0,1.0,male,city,21+,False,Yes
62,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,Often,few hours a day,3.0,23.0,2.0,male,city,21+,False,No
63,5.0,5.0,5.0,4.0,,3.0,,2.0,Sometimes,few hours a day,3.0,22.0,2.0,male,city,21+,False,Yes
64,5.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,Often,most of the day,1.0,18.0,0.0,female,city,Less than 21,False,Yes
65,4.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,Sometimes,few hours a day,1.0,17.0,1.0,male,city,Less than 21,False,Yes
66,4.0,5.0,4.0,3.0,5.0,1.0,1.0,3.0,Sometimes,less than an hour a day,3.0,20.0,1.0,male,village,Less than 21,False,No
67,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,Rarely,few hours a day,3.0,24.0,0.0,female,village,21+,False,Yes
68,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,Rarely,few hours a day,1.0,18.0,1.0,female,village,Less than 21,False,Yes
69,5.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,Often,most of the day,1.0,20.0,3.0,female,city,Less than 21,False,Yes
70,5.0,3.0,5.0,2.0,1.0,2.0,4.0,3.0,Always,few hours a day,3.0,17.0,1.0,male,city,Less than 21,False,No
71,4.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,male,city,Less than 21,False,Yes
72,5.0,1.0,5.0,3.0,1.0,2.0,5.0,5.0,Sometimes,few hours a day,3.0,28.0,1.0,female,city,21+,True,No
73,5.0,3.0,5.0,4.0,1.0,5.0,3.0,3.0,Often,few hours a day,3.0,21.0,1.0,male,city,21+,False,Yes
74,5.0,2.0,5.0,4.0,1.0,3.0,3.0,3.0,Often,few hours a day,5.0,22.0,1.0,male,city,21+,False,Yes
75,5.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,male,village,Less than 21,False,Yes
76,4.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,Often,few hours a day,2.0,18.0,1.0,male,city,Less than 21,False,Yes
77,5.0,5.0,5.0,4.0,1.0,1.0,5.0,1.0,Often,few hours a day,1.0,21.0,1.0,female,city,21+,False,No
78,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,Often,few hours a day,4.0,24.0,1.0,female,village,21+,False,Yes
79,5.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,Often,few hours a day,4.0,21.0,2.0,female,city,21+,False,Yes
80,5.0,3.0,5.0,5.0,1.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False,Yes
81,5.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,Sometimes,few hours a day,3.0,22.0,1.0,male,city,21+,False,No
82,5.0,1.0,5.0,4.0,1.0,5.0,3.0,5.0,Sometimes,few hours a day,3.0,18.0,1.0,female,city,Less than 21,False,Yes
83,5.0,5.0,5.0,,1.0,5.0,5.0,2.0,Rarely,few hours a day,3.0,22.0,2.0,female,city,21+,False,Yes
84,5.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,Often,few hours a day,1.0,19.0,0.0,female,city,Less than 21,False,Yes
85,5.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,Rarely,most of the day,2.0,22.0,2.0,male,city,21+,True,No
86,4.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,Often,few hours a day,2.0,24.0,3.0,male,city,21+,True,No
87,5.0,2.0,5.0,5.0,,3.0,3.0,1.0,Sometimes,few hours a day,2.0,18.0,3.0,female,village,Less than 21,True,Yes
88,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,Always,few hours a day,1.0,21.0,0.0,female,city,21+,False,Yes
89,5.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,Often,few hours a day,4.0,22.0,2.0,female,village,21+,False,No
90,4.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,Sometimes,most of the day,1.0,19.0,3.0,female,village,Less than 21,False,Yes
91,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,Often,few hours a day,5.0,18.0,4.0,female,village,Less than 21,False,No
92,5.0,1.0,5.0,4.0,3.0,3.0,1.0,4.0,Often,few hours a day,4.0,19.0,0.0,female,city,Less than 21,False,Yes
93,5.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,Rarely,few hours a day,4.0,24.0,2.0,male,village,21+,False,Yes
94,5.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,Never,most of the day,3.0,21.0,1.0,male,city,21+,False,Yes
95,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,Rarely,few hours a day,1.0,21.0,1.0,male,city,21+,False,Yes
96,5.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,Rarely,few hours a day,1.0,19.0,1.0,male,city,Less than 21,False,No
97,5.0,2.0,5.0,3.0,4.0,5.0,2.0,5.0,Sometimes,most of the day,2.0,19.0,1.0,male,village,Less than 21,False,Yes
98,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,Never,few hours a day,3.0,22.0,1.0,male,village,21+,False,No
99,5.0,1.0,3.0,3.0,5.0,4.0,5.0,3.0,Often,less than an hour a day,4.0,18.0,1.0,female,city,Less than 21,False,Yes
100,5.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,Often,few hours a day,4.0,21.0,1.0,female,city,21+,True,No
101,5.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,Sometimes,few hours a day,2.0,18.0,1.0,male,village,Less than 21,False,Yes
102,5.0,1.0,5.0,5.0,4.0,1.0,1.0,3.0,Sometimes,few hours a day,3.0,20.0,0.0,female,city,Less than 21,False,No
103,5.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,Always,few hours a day,4.0,22.0,0.0,male,city,21+,False,No
104,4.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,Often,few hours a day,2.0,21.0,1.0,male,village,21+,False,No
105,5.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,Sometimes,few hours a day,4.0,24.0,1.0,male,village,21+,False,Yes
106,5.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,Sometimes,few hours a day,4.0,19.0,1.0,male,city,Less than 21,False,No
107,5.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,Always,less than an hour a day,1.0,18.0,1.0,female,city,Less than 21,False,Yes
108,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,Rarely,few hours a day,1.0,17.0,1.0,female,city,Less than 21,False,Yes
109,5.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,Sometimes,few hours a day,4.0,18.0,0.0,male,city,Less than 21,False,No
110,5.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,Sometimes,few hours a day,4.0,21.0,1.0,male,city,21+,False,Yes
111,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,Sometimes,most of the day,2.0,22.0,1.0,female,village,21+,False,No
112,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,Sometimes,less than an hour a day,4.0,20.0,1.0,female,city,Less than 21,False,Yes
113,3.0,5.0,4.0,2.0,1.0,5.0,3.0,2.0,Often,few hours a day,2.0,21.0,1.0,female,village,21+,True,Yes
114,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,Often,less than an hour a day,4.0,19.0,1.0,female,city,Less than 21,True,Yes
115,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,Sometimes,few hours a day,3.0,17.0,0.0,female,city,Less than 21,True,Yes
116,5.0,1.0,4.0,2.0,1.0,4.0,5.0,5.0,Often,few hours a day,3.0,21.0,1.0,female,city,21+,False,Yes
117,5.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,Often,few hours a day,3.0,18.0,3.0,female,village,Less than 21,False,Yes
118,5.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,Sometimes,few hours a day,4.0,23.0,1.0,male,city,21+,False,Yes
119,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,Often,few hours a day,5.0,16.0,1.0,female,village,Less than 21,False,Yes
120,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,Rarely,most of the day,4.0,23.0,0.0,male,city,21+,False,Yes
121,4.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,Rarely,few hours a day,2.0,21.0,2.0,male,city,21+,False,Yes
122,5.0,1.0,4.0,5.0,1.0,4.0,2.0,2.0,Sometimes,few hours a day,4.0,23.0,0.0,female,city,21+,False,Yes
123,5.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,Sometimes,few hours a day,4.0,20.0,0.0,female,village,Less than 21,False,Yes
124,4.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,Sometimes,few hours a day,3.0,20.0,4.0,male,city,Less than 21,False,Yes
125,5.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,Often,few hours a day,3.0,20.0,1.0,female,city,Less than 21,False,Yes
126,3.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,Sometimes,few hours a day,4.0,20.0,2.0,female,village,Less than 21,False,No
127,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,Rarely,most of the day,2.0,19.0,1.0,female,city,Less than 21,False,No
128,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,Sometimes,few hours a day,5.0,15.0,3.0,female,city,Less than 21,True,Yes
129,5.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,Sometimes,less than an hour a day,3.0,20.0,1.0,female,village,Less than 21,False,Yes
130,4.0,3.0,5.0,5.0,2.0,1.0,4.0,1.0,Often,few hours a day,4.0,19.0,1.0,female,village,Less than 21,False,No
131,5.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,Rarely,few hours a day,4.0,18.0,2.0,male,village,Less than 21,False,Yes
132,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,Rarely,most of the day,5.0,15.0,1.0,female,village,Less than 21,False,Yes
133,5.0,1.0,5.0,4.0,1.0,4.0,4.0,2.0,Often,less than an hour a day,2.0,20.0,2.0,female,city,Less than 21,False,Yes
134,5.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,Never,few hours a day,1.0,16.0,1.0,female,village,Less than 21,False,Yes
135,5.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0,Sometimes,few hours a day,4.0,18.0,1.0,male,village,Less than 21,False,Yes
136,5.0,1.0,5.0,4.0,2.0,3.0,5.0,4.0,Often,few hours a day,3.0,21.0,1.0,male,village,21+,False,Yes
137,5.0,2.0,2.0,4.0,3.0,1.0,3.0,5.0,Always,few hours a day,4.0,,,,village,21+,False,No
138,5.0,1.0,5.0,2.0,1.0,3.0,1.0,4.0,Always,few hours a day,4.0,20.0,4.0,female,village,Less than 21,False,Yes
139,5.0,3.0,5.0,1.0,2.0,5.0,3.0,4.0,Often,few hours a day,2.0,19.0,1.0,female,village,Less than 21,False,Yes
140,5.0,3.0,5.0,5.0,2.0,5.0,2.0,3.0,Often,few hours a day,3.0,19.0,3.0,female,city,Less than 21,False,Yes
141,3.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,Sometimes,few hours a day,1.0,19.0,1.0,female,city,Less than 21,True,Yes
142,5.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,Rarely,most of the day,2.0,,,male,city,21+,True,No
143,5.0,3.0,,,1.0,5.0,5.0,3.0,Sometimes,most of the day,2.0,20.0,1.0,female,city,Less than 21,True,Yes
144,5.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,Never,few hours a day,5.0,21.0,1.0,male,city,21+,False,Yes
145,1.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,Sometimes,few hours a day,2.0,19.0,1.0,female,village,Less than 21,False,No
146,5.0,,5.0,5.0,1.0,4.0,1.0,3.0,Rarely,few hours a day,5.0,21.0,1.0,male,city,21+,False,Yes
147,5.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,Often,most of the day,4.0,18.0,2.0,male,city,Less than 21,False,Yes
148,4.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,Often,few hours a day,4.0,20.0,3.0,male,village,Less than 21,False,No
149,2.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,Sometimes,few hours a day,3.0,19.0,5.0,male,city,Less than 21,False,No
150,5.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,Sometimes,few hours a day,3.0,22.0,1.0,female,city,21+,False,No
151,5.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,male,city,Less than 21,False,Yes
152,5.0,2.0,5.0,5.0,2.0,4.0,2.0,5.0,Often,few hours a day,2.0,25.0,2.0,male,city,21+,False,Yes
153,2.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,Often,few hours a day,3.0,21.0,0.0,female,city,21+,False,No
154,5.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0,Sometimes,few hours a day,4.0,24.0,1.0,male,city,21+,False,Yes
155,5.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,Always,few hours a day,5.0,19.0,1.0,female,city,Less than 21,False,Yes
156,5.0,1.0,5.0,5.0,1.0,4.0,1.0,5.0,Sometimes,few hours a day,4.0,25.0,1.0,male,city,21+,True,Yes
157,5.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,Often,most of the day,4.0,26.0,2.0,male,village,21+,False,No
158,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,Sometimes,few hours a day,2.0,15.0,2.0,female,village,Less than 21,False,Yes
159,5.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,male,city,Less than 21,False,Yes
160,5.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,Rarely,few hours a day,3.0,19.0,1.0,male,city,Less than 21,False,No
161,5.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,Sometimes,few hours a day,3.0,20.0,2.0,female,city,Less than 21,False,Yes
162,4.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,Rarely,few hours a day,4.0,21.0,0.0,male,city,21+,False,No
163,5.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,Often,most of the day,3.0,22.0,1.0,male,city,21+,False,No
164,5.0,3.0,5.0,3.0,1.0,4.0,2.0,3.0,Often,most of the day,2.0,20.0,1.0,male,village,Less than 21,False,Yes
165,5.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,Always,few hours a day,3.0,20.0,1.0,female,city,Less than 21,False,No
166,5.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,Often,few hours a day,5.0,21.0,1.0,female,city,21+,False,No
167,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,Rarely,few hours a day,4.0,21.0,1.0,male,village,21+,False,Yes
168,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,Sometimes,most of the day,3.0,20.0,0.0,female,city,Less than 21,False,No
169,5.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,Sometimes,few hours a day,5.0,19.0,2.0,female,village,Less than 21,True,Yes
170,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,Often,few hours a day,5.0,19.0,1.0,male,city,Less than 21,True,Yes
171,5.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,Sometimes,few hours a day,3.0,20.0,0.0,male,city,Less than 21,True,No
172,5.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,Often,most of the day,4.0,22.0,1.0,male,village,21+,False,Yes
173,5.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,Often,most of the day,3.0,21.0,1.0,male,city,21+,False,Yes
174,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,Sometimes,few hours a day,3.0,26.0,0.0,male,city,21+,False,Yes
175,5.0,2.0,4.0,1.0,1.0,5.0,3.0,3.0,Sometimes,few hours a day,5.0,17.0,2.0,female,city,Less than 21,False,Yes
176,5.0,2.0,5.0,1.0,5.0,4.0,1.0,2.0,Often,less than an hour a day,4.0,22.0,2.0,male,village,21+,False,Yes
177,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,Sometimes,few hours a day,3.0,26.0,2.0,male,city,21+,False,Yes
178,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,female,city,Less than 21,False,Yes
179,4.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,Sometimes,few hours a day,5.0,22.0,1.0,male,city,21+,False,Yes
180,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,Rarely,few hours a day,4.0,21.0,0.0,male,city,21+,False,No
181,5.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,Often,few hours a day,3.0,23.0,0.0,male,city,21+,False,No
182,5.0,1.0,5.0,3.0,2.0,5.0,5.0,2.0,Often,few hours a day,2.0,19.0,0.0,female,city,Less than 21,False,Yes
183,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,Rarely,few hours a day,4.0,20.0,1.0,male,city,Less than 21,False,Yes
184,5.0,1.0,5.0,3.0,1.0,2.0,2.0,5.0,Sometimes,few hours a day,2.0,21.0,0.0,female,city,21+,True,No
185,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,Sometimes,less than an hour a day,3.0,19.0,2.0,female,city,Less than 21,False,Yes
186,4.0,2.0,4.0,3.0,1.0,4.0,5.0,2.0,Sometimes,less than an hour a day,3.0,29.0,2.0,female,city,21+,False,Yes
187,5.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,Sometimes,few hours a day,2.0,22.0,1.0,female,city,21+,False,No
188,3.0,1.0,2.0,4.0,1.0,,2.0,2.0,Often,less than an hour a day,5.0,19.0,2.0,female,village,Less than 21,False,
189,5.0,1.0,5.0,4.0,3.0,1.0,3.0,4.0,Sometimes,few hours a day,4.0,17.0,1.0,female,city,Less than 21,False,No
190,4.0,2.0,4.0,3.0,5.0,2.0,5.0,4.0,Often,few hours a day,4.0,16.0,1.0,female,city,Less than 21,False,No
191,5.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,Always,less than an hour a day,1.0,29.0,2.0,female,village,21+,False,No
192,5.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,Sometimes,few hours a day,5.0,18.0,2.0,female,city,Less than 21,False,Yes
193,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,Sometimes,few hours a day,3.0,26.0,2.0,male,city,21+,False,Yes
194,5.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,Often,few hours a day,3.0,19.0,1.0,male,city,Less than 21,False,No
