Country ,Continent,female_literacy,fertility,population
Chili,LAT,98.7,1926,16803952.0
Netherlands,EUR,99,1747,16445593.0
Kazakhstan,ASI,99.5,2294,15674833.0
Burkina Faso,AF,21.6,5841,15233884.0
Malawi,AF,65.8,5455,14846182.0
Niger,AF,15.1,7069,14704318.0
Cambodge,ASI,70.9,2859,14562008.0
Guatemala,LAT,68.7,4018,13686128.0
Equateur,LAT,81.7,2513,13481424.0
Mali,AF,18.2,5405,12705736.0
Zambie,AF,61,5737,12620219.0
Zimbabwe,AF,88.8,3363,12462879.0
Sénégal,AF,33,4.89,12211181.0
Grèce,EUR,95.9,1385,11237094.0
Cuba,LAT,99.8,1505,11204735.0
Tchad,AF,21.9,6081,10913667.0
Belgium,EUR,99,1784,10708433.0
Portugal,EUR,92.9,1378,10622413.0
Czech rep,EUR,99,1.45,10424336.0
Tunisie,AF,71,1841,10327800.0
Hongrie,EUR,98.9,1.37,10038188.0
République dominicaine,LAT,88.3,2612,9952711.0
Guinée,AF,26.4,5329,9833055.0
Rwanda,AF,66.1,5.33,9720694.0
Bolivie,LAT,86,3371,9694113.0
Bélarus,EUR,99.7,1281,9680850.0
Sweden,EUR,99,1871,9219637.0
Azerbaïdjan,ASI,99.2,2153,8680100.0
Bénin,AF,28.1,5378,8662086.0
Burundi,AF,59.9,4.45,8074254.0
Switzerland,EUR,99,1.46,7647675.0
Bulgarie,EUR,97.9,1436,7623395.0
Serbie,EUR,96.2,1612,7350221.0
Honduras,LAT,83.5,3.19,7318789.0
Israel,ASI,95.9,2752,7308800.0
Tadjikistan,ASI,99.5,3.35,6836083.0
Papouasie-Nouvelle-Guinée,OCE,55.6,4.01,6576822.0
Togo,AF,53.7,4166,6458605.0
Jamahiriya arabe libyenne,AF,81.3,2642,6294181.0
Paraguay,LAT,93.5,2977,6237855.0
Rép. démocratique populaire lao,ASI,63.2,3415,6205341.0
El Salvador,LAT,81.4,2295,6133910.0
Jordanie,ASI,88.9,3019,5906042.87150034
Nicaragua,LAT,77.9,2683,5667325.0
Sierra Leone,AF,28.9,5165,5559853.0
Denmark,EUR,99,1849,5493621.0
Finland,EUR,100,1836,5313399.0
Kirghizistan,ASI,99.1,2518,5277900.0
Turkménistan,ASI,99.3,2.43,5043618.0
Erythrée,AF,54.5,4528,4926877.0
Singapour,ASI,91.6,1263,4839400.0
Norway,EUR,100,1885,4768212.0
Costa Rica,LAT,96.2,1943,4519126.0
Emirats arabes unis,ASI,91.5,1899,4484935.0
Croatie,EUR,98,1442,4434000.0
Ireland,EUR,99,1953,4425675.0
République centrafricaine,AF,41.1,4697,4339263.0
Géorgie,ASI,99.7,1582,4307011.0
New Zealand,OCE,99,2025,4268900.0
Liban,ASI,86,1841,4193758.0
Libéria,AF,53,5011,3793400.0
Bosnie-Herzégovine,EUR,95.9,1212,3773100.0
République de Moldova,EUR,97.8,1502,3633369.0
Panama,LAT,92.8,2516,3398823.0
Lituanie,EUR,99.7,1367,3358115.0
Uruguay,LAT,98.5,2089,3334052.0
Mauritanie,AF,49.5,4388,3215043.0
Albanie,EUR,98.7,1854,3143291.0
Arménie,ASI,99.4,1748,3077087.0
Oman,ASI,80.9,2978,2785361.0
Koweït,ASI,93.1,2152,2728040.83948046
Jamaïque,LAT,90.8,2362,2687200.0
Mongolie,ASI,97.8,1988,2641216.0
Lettonie,EUR,99.8,1426,2266094.0
Namibie,AF,87.7,3.29,2129854.0
Lesotho,AF,95.1,3264,2049429.0
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1436,2041342.0
Slovénie,EUR,99.7,1393,2021316.0
Botswana,AF,83.5,2822,1921122.0
Gambie,AF,34.3,4969,1660200.0
Guinée-Bissau,AF,36.5,5659,1575446.0
Gabon,AF,83.2,3.24,1448159.0
Estonie,EUR,99.8,1693,1340675.0
Trinité-et-Tobago,LAT,98.2,1647,1333388.0
Qatar,ASI,90.4,2.36,1280862.0
Maurice,AF,84.8,1792,1268854.0
Swaziland,AF,85.6,3.45,1167834.0
Chypre,EUR,96.7,1516,862434.0
Bahreïn,ASI,89.4,2233,775585.0
Bhoutan,ASI,38.7,2563,686789.0
Guinée équatoriale,AF,89.1,5283,659197.0
Comores,AF,67.8,3885,643571.312838574
"Macao, Chine",ASI,90.7,966,526178.0
Suriname,LAT,88.4,2373,515124.0
Cap-Vert,AF,79.3,2663,498672.0
Malte,EUR,93.5,1251,411950.0
Brunéi Darussalam,ASI,93.3,2052,392280.0
Bahamas,LAT,96.5,3371,337668.0
Iceland,EUR,99,2093,317414.0
Maldives,ASI,98.4,2,305027.0
Vanuatu,OCE,79.5,3883,233866.0
Samoa,OCE,98.5,3852,178869.0
Sao Tomé-et-Principe,AF,83.3,3718,160174.0
Aruba,LAT,98,1732,105455.0
Tonga,ASI,99.1,3928,103566.0
